127.0.0.1 - - [01/Jul/2024:23:01:40 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:01:41 +0200] "GET /WebShopAppREST/ HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:01:51 +0200] "GET /WebShopAppREST/rest/comments HTTP/1.1" 500 8608
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:02:34 +0200] "GET /WebShopAppREST/rest/factories HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:02:45 +0200] "OPTIONS /WebShopAppREST/rest/user/login/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:02:46 +0200] "POST /WebShopAppREST/rest/user/login/ HTTP/1.1" 404 42
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:02:52 +0200] "GET /WebShopAppREST/rest/factories HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:03:07 +0200] "OPTIONS /WebShopAppREST/rest/user/login/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:03:07 +0200] "POST /WebShopAppREST/rest/user/login/ HTTP/1.1" 404 42
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:04:08 +0200] "OPTIONS /WebShopAppREST/rest/user/login/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:04:08 +0200] "POST /WebShopAppREST/rest/user/login/ HTTP/1.1" 404 42
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:04:23 +0200] "OPTIONS /WebShopAppREST/rest/user/login/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:04:23 +0200] "POST /WebShopAppREST/rest/user/login/ HTTP/1.1" 404 42
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:05:08 +0200] "OPTIONS /WebShopAppREST/rest/user/login/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:05:14 +0200] "POST /WebShopAppREST/rest/user/login/ HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:05:15 +0200] "OPTIONS /WebShopAppREST/rest/user/login/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:05:15 +0200] "POST /WebShopAppREST/rest/user/login/ HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:05:16 +0200] "GET /WebShopAppREST/rest/factories HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:28:04 +0200] "OPTIONS /WebShopAppREST/rest/user/login/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:28:05 +0200] "POST /WebShopAppREST/rest/user/login/ HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:28:05 +0200] "GET /WebShopAppREST/rest/factories HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:29:22 +0200] "OPTIONS /WebShopAppREST/rest/user/login/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:29:22 +0200] "POST /WebShopAppREST/rest/user/login/ HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:29:22 +0200] "GET /WebShopAppREST/rest/factories HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:31:35 +0200] "OPTIONS /WebShopAppREST/rest/user/login/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:31:35 +0200] "POST /WebShopAppREST/rest/user/login/ HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:31:36 +0200] "GET /WebShopAppREST/rest/factories HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:33:32 +0200] "GET /WebShopAppREST/rest/factories HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:34:31 +0200] "GET /WebShopAppREST/rest/factories HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:34:36 +0200] "GET /WebShopAppREST/rest/factories HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:34:42 +0200] "GET /WebShopAppREST/rest/factories HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:48:12 +0200] "GET /WebShopAppREST/rest/factories HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:54:56 +0200] "GET /WebShopAppREST/rest/factories HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:54:59 +0200] "GET /WebShopAppREST/rest/factories HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:55:34 +0200] "GET /WebShopAppREST/rest/factories HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:56:53 +0200] "GET /WebShopAppREST/rest/factories HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:57:07 +0200] "GET /WebShopAppREST/rest/factories/search?factoryName=&chocolateName=&location=&chocolateType=&chocolateCategory=&isOpen=false HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:57:14 +0200] "GET /WebShopAppREST/rest/factories/2 HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:57:14 +0200] "GET /WebShopAppREST/rest/chocolates/factory/2 HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:57:14 +0200] "GET /WebShopAppREST/rest/comments/factory/2 HTTP/1.1" 500 8608
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:57:15 +0200] "GET /WebShopAppREST/rest/factories HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:57:16 +0200] "GET /WebShopAppREST/rest/factories/1 HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:57:16 +0200] "GET /WebShopAppREST/rest/chocolates/factory/1 HTTP/1.1" 200 834
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:57:17 +0200] "GET /WebShopAppREST/rest/comments/factory/1 HTTP/1.1" 500 8608
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:57:19 +0200] "GET /WebShopAppREST/rest/factories HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:57:20 +0200] "GET /WebShopAppREST/rest/factories/2 HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:57:20 +0200] "GET /WebShopAppREST/rest/chocolates/factory/2 HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:57:20 +0200] "GET /WebShopAppREST/rest/comments/factory/2 HTTP/1.1" 500 8608
0:0:0:0:0:0:0:1 - - [01/Jul/2024:23:57:21 +0200] "GET /WebShopAppREST/rest/factories HTTP/1.1" 200 1236
